image_url: http://farm3.staticflickr.com/2234/2346681002_8e27272f3e.jpg    flickr_username: "FreshCC" realname: "Kelvin Chen"
image_url: http://farm4.staticflickr.com/3159/2981298049_3d6ae318bd.jpg    flickr_username: "shanathalas" realname: ""
image_url: http://farm3.staticflickr.com/2461/3998792608_56cfb95450.jpg    flickr_username: "seriykotik1970" realname: "Ian"
image_url: http://farm5.staticflickr.com/4069/4398124227_e46cd7140c.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm3.staticflickr.com/2740/4398126643_1608e7beff.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4032/4398138707_9f01ef9f4f.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm3.staticflickr.com/2611/4398141025_f215848174.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm3.staticflickr.com/2779/4398882022_f87e46df19.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4007/4398884740_70649a81df.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4054/4398886832_7ae426230c.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4016/4398900426_a4864a3af7.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm3.staticflickr.com/2715/4398902984_a1c3d82323.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4061/4398909906_d2be7a3cde.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm3.staticflickr.com/2718/4398912102_604c23018a.jpg    flickr_username: "stracd" realname: "Donald"
image_url: http://farm5.staticflickr.com/4077/5012411667_cf4284ab4e.jpg    flickr_username: "tpholland" realname: ""
image_url: http://farm2.staticflickr.com/1351/5108260796_af31c4bb5e.jpg    flickr_username: "CS_McMahon" realname: "Colleen McMahon"
image_url: http://farm6.staticflickr.com/5255/5465160029_6217ec5fa4.jpg    flickr_username: "SissiU Albor" realname: "SissiU Albor"
image_url: http://farm2.staticflickr.com/1093/548848175_4c0d94106a.jpg    flickr_username: "puroticorico" realname: "Richie Diesterheft"
image_url: http://farm6.staticflickr.com/5114/5852569853_00da8f6bf5.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm6.staticflickr.com/5063/5852570395_c8cea32128.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm4.staticflickr.com/3192/5852609237_9d0075b34d.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm4.staticflickr.com/3225/5852674117_b11ff31387.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm3.staticflickr.com/2732/5852674507_2cb0109ba0.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm3.staticflickr.com/2436/5853161530_594211b571.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm6.staticflickr.com/5301/5853161838_d255da5660.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm3.staticflickr.com/2773/5853162116_18d16fbe3a.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
image_url: http://farm6.staticflickr.com/5078/5853162480_1730794dc4.jpg    flickr_username: "Penn State Libraries Pictures Collection" realname: "Penn State University Libraries Architecture and Landscape Architecture Library"
